year,award
2026,"우수 포스터상, 한국원자력학회 2026년도 춘계학술발표회"
2025,"우수 포스터상, 한국원자력학회 2025년도 추계학술발표회"
2025,"우수 포스터상, 한국원자력학회 2025년도 추계학술발표회"
2024,"우수 포스터상, 한국원자력학회 2024년도 추계학술발표회"
2024,"우수 포스터상, 한국원자력학회 2024년도 추계학술발표회"
2024,"Best Paper Award, The 14th International Topical Meeting on Nuclear Reactor Thermal-Hydraulics, Operation and Safety (NUTHOS 14)"
2024,"우수 논문상, 한국원자력학회 2024년도 춘계학술발표회"
2024,"우수 포스터상, 한국원자력학회 2024년도 춘계학술발표회"
2023,"우수 논문상, 한국원자력학회 2023년도 춘계학술발표회"
2023,"Best Poster Award, The 10th Korea-China Workshop on Nuclear Reactor Thermal-Hydraulics (WORTH-10)"
2021,"우수 논문상, 한국원자력학회 2021년도 춘계학술발표회"
2020,"우수 논문상, 한국원자력학회 2020년도 추계학술발표회"
2019,"최우수 논문상, 한국원자력학회 2019년도 추계학술발표회 학부생 및 대학원생 Competition Session"
2019,"우수 포스터상, 한국원자력학회 2019년도 춘계학술발표회"
2019,"우수 포스터상, 한국원자력학회 2019년도 춘계학술발표회"
2018,"Best Paper Award, 6th International Conference on Nuclear and Renewable Energy Resources (NURER-6)"
2018,"최우수상, 한국원자력학회 2018년도 추계학술발표회 학생/청년 Competition Session"
2018,"우수 포스터상, 한국원자력학회 2018년도 춘계학술발표회"
2018,"Best Poster Presentation Award, The 10th International Conference on Boiling and Condensation Heat Transfer"
2018,"Best Poster Award, The 11th Korea-Japan Symposium on Nuclear Thermal Hydraulics and Safety"
2017,"우수 논문상, 한국원자력학회 2017년도 춘계학술발표회"
2017,"Outstanding Student Presentation Award, International Congress on Advances in Nuclear Power Plants (ICAPP) 2017"
2016,"최우수상, 한국원자력학회 2016년도 추계학술발표회 학생/청년 Competition Session"
2016,"우수 포스터상, 한국원자력학회 2016년도 춘계학술발표회"
2014,"우수 논문상, 한국원자력학회 2014년도 추계학술발표회"
2014,"우수 포스터상, 한국원자력학회 2014년도 추계학술발표회"
2013,"우수 포스터상, 한국원자력학회 2013년도 추계학술발표회"
2013,"우수상, 한국원자력학회 2013년도 춘계학술발표회 학생/청년 Competition Session"
2012,"우수 포스터상, 한국원자력학회 2012년도 추계학술발표회"
