year,citation,url
2026,"Yun Sik Cho, Sung Joong Kim, ""Development of a 1D Noble Metal Transport and Flotation Code for Helium Bubbling Systems in Passive Molten Salt Reactors"", Transactions of the Korean Nuclear Society Spring Meeting, Jeju, Korea, May 6–8, 2026.",
2026,"Juhyeong Lee, Seungmin Lee, Sinho Kim, Sung Joong Kim, ""Thermal-Hydraulic and Reactivity Analysis of a Passive Molten Salt Fast Reactor Under Marine Rolling Motion"", Transactions of the Korean Nuclear Society Spring Meeting, Jeju, Korea, May 6–8, 2026.",
2026,"Jae Hyung Park, Jihun Im, Hyo Jun An, Sung Joong Kim, ""Preliminary Evaluation of Structural Effect on Extended-term Cooling Capability of On-demand Flooding System Using MARS-KS"", Transactions of the Korean Nuclear Society Spring Meeting, Jeju, Korea, May 6–8, 2026.",
2026,"Jaemin Han, Ye Hwan Chun, JinHo Song, Sung Joong Kim, ""Coolability Evaluation of a Molten Salt Pool in MSR Containment Vessel under Decay Heat"", Transactions of the Korean Nuclear Society Spring Meeting, Jeju, Korea, May 6–8, 2026.",
2026,"Dowon Lee, Juhyeong Lee, JinHo Song, Sung Joong Kim, ""Benchmarking Thermochemistry-Coupled Radionuclide Release in Molten Salt Reactors: cGEMS vs OpenFOAM-GEMS"", Transactions of the Korean Nuclear Society Spring Meeting, Jeju, Korea, May 6–8, 2026.",
2026,"Baptiste Berlot, Juhyeong Lee, Jihun Im, JinHo Song, Sung Joong Kim, ""Modeling and Thermal Performance Evaluation of a Phase Change Material based Passive Safety System for the Passive Molten Salt Fast Reactor using the GAMMA+ Code"", Transactions of the Korean Nuclear Society Spring Meeting, Jeju, Korea, May 6–8, 2026.",
2026,"Jihun Im, JaeHyung Park, JinHo Song, JoonEon Yang, Sung Joong Kim, ""A Preliminary Assessment of Pareto Optimization for a Gas-Lift Enhanced PMFR Primary System under Fuel Inventory Constraints"", Transactions of the Korean Nuclear Society Spring Meeting, Jeju, Korea, May 6–8, 2026.",
2026,"Ok Hyeon Lee, Cheolwoong Kim, JinHo Song, Joon-Eon Yang, Sung Joong Kim, ""Scenario-Specific Sensitivity of Uncertain Parameters in OPR1000 LOCA: A Comparative Study Using CINEMA"", Transactions of the Korean Nuclear Society Spring Meeting, Jeju, Korea, May 6–8, 2026.",
2026,"Cheolwoong Kim, Se Hee Kwon, Sanghyeok Kim, JinHo Song, Sung Joong Kim, Joon Eon Yang, Sang Ho Kim, Jaehyun Ham, Seokgyu Jeong, ""Comparative Investigation on Severe Accident Phenomena between MELCOR and CINEMA for i-SMR Postulated Accident"", Transactions of the Korean Nuclear Society Spring Meeting, Jeju, Korea, May 6–8, 2026.",
2026,"Ye Hwan Chun, Juhyeong Lee, JinHo Song, Sung Joong Kim, ""Numerical Validation of Molten Salt Spill and Solidification Behaviors using ANSYS Fluent and OpenFOAM"", Transactions of the Korean Nuclear Society Spring Meeting, Jeju, Korea, May 6–8, 2026.",
