year,citation,url
2026,"Chang Hyun Song, Sung Joong Kim, Safety implications of multiple passive safety valve failures in an i-SMR design, Progress in Nuclear Energy, Volume 191, 2026.",https://doi.org/10.1016/j.pnucene.2025.106065
2026,"Joon Young Bae, Chang Hyun Song, JinHo Song, Jeong Ik Lee, Miro Seo, Sung Joong Kim, Prediction of Severe Accident Progression Using Machine Learning With Data-Driven Surrogate Modeling as Operator Support Tool, International Journal of Energy Research, 2026, 1416259, 27 pages, 2026.",https://doi.org/10.1155/er/1416259
2025,"Wonjun Choi, Sung Joong Kim, A simple accident management support tool based on source-term category using RNN-LSTM, Nuclear Engineering and Technology, Volume 57, Issue 10, 2025.",https://doi.org/10.1016/j.net.2025.103716
2025,"Juhyeong Lee, Min Seop Song, Seungug Jae, Won Sik Yang, Sung Joong Kim, ""Multiphysics Analysis of Natural Circulation-Driven Operation of Passive Molten Salt Fast Reactor and Effect of Guide Structure"", International Journal of Energy Research, 2025, 6052359, 18 pages, 2025.",https://doi.org/10.1155/er/6052359
2025,"Chang Hyun Song, Wonjun Choi, Sung Joong Kim, Performance evaluation of a surrogate model to predict effective dose under hypothesized severe accidents of pressurized water reactor based on neural network, Annals of Nuclear Energy, Volume 224, 2025.",https://doi.org/10.1016/j.anucene.2025.111701
2025,"Chang Hyun Song, JinHo Song, Sung Joong Kim, ""Evaluation of accident mitigation capability of passive core and containment cooling systems of i-SMR under representative LOCA and non-LOCA conditions"", Nuclear Engineering and Technology, Volume 57, Issue 8, 2025.",https://doi.org/10.1016/j.net.2025.103556
2025,"Chang Hyun Song, Jae Hyung Park, JinHo Song, Sung Joong Kim, ""Evaluation on mitigation performance of flooding safety system under hypothetical loss of coolant accident in Korean i-SMR with MELCOR code"", Nuclear Engineering and Design, Vol. 435, Issue 4, 2025.",https://doi.org/10.1016/j.nucengdes.2025.113950
2024,"Geon Hyeong Lee, Jae Hyung Park, Beomjin Jeong, Sung Joong Kim, ""Analysis of heat-loss mechanisms with various gases associated with the surface emissivity of a metal containment vessel in a water-cooled small modular reactor"", Nuclear Engineering and Technology, Vol. 56, Issue 8, 2024.",https://doi.org/10.1016/j.net.2024.03.004
2024,"Taeseok Kim, Sung Joong Kim, ""Vertical length effect on dropwise condensation heat transfer at low heat flux - Part II: Theoretical model suitable for non-coated metal surfaces"", International Journal of Heat and Mass Transfer, Vol. 226, No. 125510, 2024.",https://doi.org/10.1016/j.ijheatmasstransfer.2024.125510
2024,"Jae Hyung Park, Jihun Im, Hyo Jun An, Yonghee Kim, Jeong Ik Lee, Sung Joong Kim, ""Development of an on-demand flooding safety system achieving long-term inexhaustible cooling of small modular reactors employing metal containment vessel"", Nuclear Engineering and Technology, Vol. 56, Issue 7, 2024.",https://doi.org/10.1016/j.net.2024.02.012
2024,"Taeseok Kim, Sung Joong Kim, ""Vertical-length effect on dropwise condensation heat transfer at low heat flux - Part I: Experimental study"", International Journal of Heat and Mass Transfer, Vol. 224, No. 125329, 2024.",https://doi.org/10.1016/j.ijheatmasstransfer.2024.125329
2024,"JinHo Song, SungJoong Kim, ""A machine learning informed prediction of severe accident progressions in nuclear power plants"", Nuclear Engineering and Technology, Vol. 56, Issue 6, 2024.",https://doi.org/10.1016/j.net.2024.01.035
2024,"Juhyeong Lee, Byeonghee Lee, Sung Joong Kim, ""Performance evaluation of an improved pool scrubbing system for thermally-induced steam generator tube rupture accident in OPR1000"", Nuclear Engineering and Technology, Vol. 56, 2024.",https://doi.org/10.1016/j.net.2023.12.005
2024,"Won Jun Choi, Jae Hyung Park, Juhyeong Lee, Jihun Im, Yunsik Cho, Yonghee Kim, Sung Joong Kim, ""Experimental and numerical assessment of helium bubble lift during natural circulation for passive molten salt fast reactor"", Nuclear Engineering and Technology, Vol. 56, Issue 3, 2024.",https://doi.org/10.1016/j.net.2023.12.016
2024,"Hyo Jun An, Jae Hyung Park, Chang Hyeon Song, Jeong Ik Lee, Yonghee Kim, Sung Joong Kim, ""Strategic analysis on sizing of flooding valve for successful accident management of small modular reactor"", Nuclear Engineering and Technology, Vol. 56, Issue 3, 2024.",https://doi.org/10.1016/j.net.2023.11.025
2024,"Joongoo Jeon, Juhyeong Lee, Ricardo Vinuesa, Sung Joong Kim, ""Residual-based physics-informed transfer learning: A hybrid method for accelerating long-term CFD simulations via deep learning"", International Journal of Heat and Mass Transfer, Vol. 220, No. 124900, 2024.",https://doi.org/10.1016/j.ijheatmasstransfer.2023.124900
2024,"JinHo Song, SungJoong Kim, ""A machine learning diagnosis of the severe accident progression"", Nuclear Engineering and Design, Vol. 416, No. 112781, 2024.",https://doi.org/10.1016/j.nucengdes.2023.112781
2023,"Nasir Hayat Hengra, Chang Hyun Song, Sung Joong Kim, Muhammad Ilyas, ""Assessment of corium concrete interaction and impact of water ingression mechanism using top flooding strategy for a small PWR with MELCOR 2.2."" Annals of Nuclear Energy, Volume 182, March 2023",https://doi.org/10.1016/j.anucene.2022.109601
2023,"Chang Hyun Song, Nasir Hayat Hengra, Sung Joong Kim, and Muhammad Ilyas, ""Parametric study of molten core concrete interaction and assessment of corium coolability in the light of MCCI experiments"" Progress in Nuclear Energy, Volume 166, November 2023",https://doi.org/10.1016/j.pnucene.2023.104976
2022,"Chang Hyun Song, Joon Young Bae, and Sung Joong Kim. ""Numerical analysis on in-core ignition and subsequent flame propagation to containment in OPR1000 under loss of coolant accident."" Nuclear Engineering and Technology, Vol. 54, Issue 8, 2022",https://doi.org/10.1016/j.net.2022.03.023
2022,"Doyoung Shin, Sung Joong Kim, ""Intrinsic effects of Cr-layered accident-tolerant fuel cladding surface on reflood heat transfer"", International Journal of Heat and Mass Transfer.",https://doi.org/10.1016/j.ijheatmasstransfer.2021.122512
2022,"Joongoo Jeon, Juhyeong Lee, Sung Joong Kim, ""Finite volume method network for acceleration of unsteady computational fluid dynamics: non-reacting and reacting flows"", International Journal of Energy Research.",https://doi.org/10.1002/er.7879
2022,"Junhyuk Ahn, Yong Min Lee, Joongoo Jeon, Junsung Bang, Sanghyun Jeon, Ho Kun Woo, Sang Yeop Lee, Jung Ho Bae, Woosik Kim, Young Kyun Choi, Sung Joong Kim, Soong Ju Oh, ""High‐Resolution Multicolor Patterning of Metal Halide Perovskite Nanocrystal Thin Films through Rapid‐Evaporation‐Assisted Strategy."" Advanced Materials Technologies, Vol. 7, No. 2200031, 2022",https://doi.org/10.1002/admt.202200031
2021,"Joongoo Jeon, Doyoung Shin, Wonjun Choi, Sung Joong Kim, ""Identification of the extinction mechanism of lean limit hydrogen flames based on Lewis number effect"", International Journal of Heat and Mass Transfer, Vol. 174, No. 121288, 2021.",https://www.sciencedirect.com/science/article/pii/S0017931021003914
2021,"Taeseok Kim, Doyoung Shin, Jaemin Lee, Sung Joong Kim, ""Effect of layer-by-layer assembled carbon nanotube coatings on dropwise condensation heat transfer associated with non-condensable gas effect"", International Journal of Heat and Mass Transfer, Vol. 175, No.121345, 2021.",https://www.sciencedirect.com/science/article/pii/S0017931021004488
2021,"Bong Seong Oh, Yonghee Kim, Sung Joong Kim, Jeong Ik Lee , ""SMART with Trans-Critical CO2 power conversion system for maritime propulsion in Northern Sea Route, part 1: System design,"" Annals of Nuclear Energy, Vol. 149, 107792, 2021.",https://www.sciencedirect.com/science/article/pii/S0306454920304904?via%3Dihub
2021,"Bong Seong Oh, Yonghee Kim, Sung Joong Kim, Jeong Ik Lee, ""SMART with trans-critical CO2 power conversion system for maritime propulsion in Northern Sea Route, part 2: Transient analysis,"" Annals of Nuclear Energy, Vol. 150, 107875, 2021",https://www.sciencedirect.com/science/article/pii/S0306454920305739?via%3Dihub
2021,"Kwang-Il Ahn, Soo-Yong Park, Wonjun Choi, Sung Joong Kim, ""Best-practice severe accident analysis for the OPR1000 short-term SBO sequence using MELCOR2.2 and MAAP5,"" Annals of Nuclear Energy, Vol. 160, 108350, 2021",https://www.sciencedirect.com/science/article/pii/S0306454921002267?via%3Dihub
2021,"Joongoo Jeon, Yeon Soo Kim, Hoichul Jung, Sung Joong Kim, ""A mechanistic analysis of H2O and CO2 diluent effect on hydrogen flammability limit considering flame extinction mechanism"", Nuclear Engineering and Technology, Vol. 53, 3286-3297, 2021.",https://doi.org/10.1016/j.net.2021.05.004
2020,"Anil Kumar Khambampati, Kyung Youn Kim, Seop Hur, Sung Joong Kim, Jung Taek Kim, ""An interactive multiple model method to identify the in-vessel phenomenon of a nuclear plant during a severe accident from the outer wall temperature of the reactor vessel,"" Nuclear Engineering and Technology, Vol. 53(2), pp. 532-548, 2020.",https://www.sciencedirect.com/science/article/pii/S1738573320308093
2020,"Joongoo Jeon, Sung Joong Kim, ""Recent Progress in Hydrogen Flammability Prediction for the Safe Energy Systems"", Energies, Vol. 13(23), No. 6263, 2020.",https://www.mdpi.com/1996-1073/13/23/6263
2020,"Uiju Jeong, Sung Joong Kim, ""Semi-Mechanistic Prediction of Spatial Variation of Local Critical Heat Flux for Saturated Pool Boiling along a Slightly Inclined Surface Facing Downward,"" International Communications in Heat and Mass Transfer, Vol. 119, No. 104909, 2020.",https://www.sciencedirect.com/science/article/pii/S0735193320304371
2020,"Doyoung Shin, Joongoo Jeon, Taeseok Kim, Jae Hyung Park, Sung Joong Kim, ""Development of the thermal performance model using temperature gradient analysis for optimized design of steam surface condenser,"" International Journal of Heat and Mass Transfer, Vol. 163, No. 120411, 2020.",https://www.sciencedirect.com/science/article/pii/S0017931020333470
2020,"Yeon Soo Kim, Joongoo Jeon, Chang Hyun Song, Sung Joong Kim, ""Improved prediction model for H2/CO combustion risk using a calculated non-adiabatic flame temperature model,"" Nuclear Engineering and Technology, Vol. 52(12), pp. 2836-2846, 2020.",https://www.sciencedirect.com/science/article/pii/S1738573320308020
2020,"Min Wook Na, Doyoung Shin, Jae Hyung Park, Jeong Ik Lee, Sung Joong Kim, ""Indefinite sustainability of passive residual heat removal system of small modular reactor using dry air cooling tower,"" Nuclear Engineering and Technology, Vol. 52(5), pp. 964-974, 2020.",https://www.sciencedirect.com/science/article/pii/S1738573319305662
2020,"Hong Hyun Son, Namgook Kim, Sung Joong Kim, ""Nano/microscale roughness control of accident-tolerant Cr-and CrAl-coated surfaces to enhance critical heat flux,"" Applied Thermal Engineering, Vol. 167, No. 114786, 2020.",https://www.sciencedirect.com/science/article/pii/S1359431119350975
2019,"Namgook Kim, Hong Hyun Son, Sung Joong Kim, ""Oxidation effect on pool boiling critical heat flux enhancement of Cr-coated surface for accident-tolerant fuel cladding application,"" International Journal of Heat and Mass Transfer, Vol. 144, No. 118655, 2019.",https://www.sciencedirect.com/science/article/pii/S0017931019312177
2019,"Hong Hyun Son, Sung Joong Kim, ""Role of receding capillary flow correlating nano/micro scale surface roughness and wettability with pool boiling critical heat flux,"" International Journal of Heat and Mass Transfer, Vol. 138, pp. 985-1001, 2019.",https://www.sciencedirect.com/science/article/pii/S0017931018364810
2019,"Joongoo Jeon, Wonjun Choi, Sung Joong Kim, ""A flammability limit model for hydrogen-air-diluent mixtures based on heat transfer characteristics in flame propagation,"" Nuclear Engineering and Technology, Vol. 51, pp. 1749-1757, 2019.",https://www.sciencedirect.com/science/article/pii/S173857331930004X
2019,"Doyoung Shin, Min Wook Na, Jeong Ik Lee, Yonghee Kim, Sung Joong Kim, ""Performance criterion of an indirect dry air-cooled condenser for small modular reactor based on pressure transition temperature,"" International Journal of Energy Research, Vol. 43(14), pp. 8190-8203, 2019.",https://onlinelibrary.wiley.com/doi/full/10.1002/er.4816
2019,"Hong Hyun Son, Yun Sik Cho, Sung Joong Kim, ""Experimental study of saturated pool boiling heat transfer with FeCrAl and Cr-layered vertical tubes under atmospheric pressure,"" International Journal of Heat and Mass Transfer, Vol. 128, pp. 418-430, 2019.",https://www.sciencedirect.com/science/article/pii/S0017931018327157
2019,"Doyoung Shin, Jae-sung Kwon, Taeseok Kim, Sung Joong Kim, ""Local heat transfer characteristics of natural circulation flow inside an 8x8 partial spent fuel assembly under dry storage"", International Journal of Heat and Mass Transfer, Vol. 128, pp. 431-442, 2019.",https://www.sciencedirect.com/science/article/pii/S0017931018313620
2019,"Joongoo Jeon, Yeon Soo Kim, Wonjun Choi, Sung Joong Kim, ""Identification of hydrogen flammability in steam generator compartment of OPR1000 using MELCOR and CFX codes"", Nuclear Engineering and Technology, Vol. 51, pp. 1939-1950, 2019.",https://www.sciencedirect.com/science/article/pii/S1738573318308313
2018,"Byung Gi Park, Seungjin Seo, Sung Joong Kim, Ji Hyun Kim, Sungyeol Choi, ""Meso-scale multi-physics full coupling within porous CRUD deposits on nuclear fuel,"" Journal of Nuclear Materials, Vol. 512, pp. 100-117, 2018.",https://www.sciencedirect.com/science/article/pii/S0022311518300175
2018,"Joongoo Jeon, Wonjun Choi, Nam Kyung Kim, Sung Joong Kim, ""Numerical investigation of in-vessel core coolability of PWR through an effective safety injection flow model using MELCOR simulation,"" Annals of Nuclear Energy, Vol. 121, pp. 350-360, 2018.",https://www.sciencedirect.com/science/article/pii/S0306454918303530
2018,"Wonjun Choi, Taeseok Kim, Joongoo Jeon, Nam Kyung Kim, Sung Joong Kim, ""Effect of Molten Corium Behavior Uncertainty on the Severe Accident Progress,"" Science and Technology of Nuclear Installations, Vol. 2018, pp. 1-15, 2018.",https://www.hindawi.com/journals/stni/2018/5706409/abs/
2018,"Taeseok Kim, Wonjun Choi, Joongoo Jeon, Nam Kyung Kim, Hoichul Jung, Sung Joong Kim, ""A Conceptual Approach to Eliminate Bypass Release of Fission Products by In-Containment Relief Valve under SGTR Accident,"" Science and Technology of Nuclear Installations, Vol. 2018, pp. 1-12, 2018.",https://www.hindawi.com/journals/stni/2018/5936214/
2018,"Hong Hyun Son, Namgook Kim, Sung Joong Kim, ""Novel measurement of receding wicked liquid responsible for critical heat flux enhancement"", International Journal of Heat and Mass Transfer, Vol. 124, pp. 150-157, 2018",https://www.sciencedirect.com/science/article/pii/S0017931017353000
2018,"Uiju Jeong, Hong Hyun Son, Sung Joong Kim, ""Influence of the aligned flow obstacles on critical heat flux in two-phase boundary layer flow under a low flow condition"", Vol. 121, pp. 1234-1250, 2018",https://www.sciencedirect.com/science/article/pii/S0017931017341959
2018,"Wonjun Choi, Seon Oh Yu, Sung Joong Kim, ""Efficacy analysis of hydrogen mitigation measures of CANDU containment under LOCA scenario"", Annals of Nuclear Energy, Vol. 118, pp. 122-130, 2018",https://www.sciencedirect.com/science/article/pii/S0306454918301877
2018,"Nam Kyung Kim, Joongoo Jeon, Wonjun Choi, Sung Joong Kim, ""Systematic hydrogen risk analysis of OPR 1000 containment before RPV failure under station blackout scenario"", Annals of Nuclear Energy, Vol. 116, pp. 429-438, 2018",https://www.sciencedirect.com/science/article/pii/S0306454918301129
2018,"Uiju Jeong and Sung Joong Kim, ""Subcooling effect on boiling heat transfer of inclined downward-facing surface under low flow and pressure"", International Journal of Heat and Mass Transfer, Vol. 127, pp. 182-195, 2018",https://www.sciencedirect.com/science/article/pii/S001793101830958X
2017,"Gwanghyeok Seo, Hong Hyun Son, Uiju Jeong, Doyoung Shin, Sung Joong Kim, “Effects of Layer-by-Layer Assembled PEI/MWCNT Surfaces on Enhanced Pool Boiling Critical Heat Flux”, International Journal of Heat and Mass Transfer, Vol. 109, pp. 564-576, 2017",https://www.sciencedirect.com/science/article/pii/S0017931016326175
2017,"Wonjun Choi, Hwan-Yeol Kim, Rae-Joon Park, Sung Joong Kim, “Effectiveness and adverse effects of in-vessel retention strategies under a postulated SGTR accident of an OPR1000”, Journal of Nuclear Science and Technology, Vol. 54, Issue 3, pp. 337-347, 2017",https://www.tandfonline.com/doi/full/10.1080/00223131.2016.1273145
2017,"Yongjae Lee, Wonjun Choi, Sung Joong Kim, “Efficacy assessment of independent severe accident mitigation measures in OPR1000 using MELCOR code”, Journal of Nuclear Science and Technology, Vol. 54, Issue 1, pp. 89-100, 2017",https://www.tandfonline.com/doi/full/10.1080/00223131.2016.1213670
2017,"Hong Hyun Son, Kyusang Song, Uiju Jeong, Gyoodong Jeun, Sung Joong Kim, “Effects of flow obstacles on pool boiling critical heat flux of a downward-facing metal heater”, Experimental Thermal and Fluid Science, Vol. 80, pp. 313-326, 2017",https://www.sciencedirect.com/science/article/pii/S089417771630245X
2017,"Seon Oh Yu, Yong Jin Cho, Sung Joong Kim, ""Effect of emergency core cooling system flow reduction on channel temperature during recirculation phase of break loss-of-coolant accident at Wolsong unit 1"", Nuclear Engineering and Technology, Vol. 49, Issue 5, pp. 979-988, 2017",https://www.sciencedirect.com/science/article/pii/S1738573317302309
2017,"Hong Hyun Son, Gwanghyeok Seo, Uiju Jeong, Doyoung Shin, Sung Joong Kim, ""Capillary wicking effect of a Cr-sputtered superhydrophilic surface on enhancement of pool boiling critical heat flux"", International Journal of Heat and Mass Transfer, Vol. 113, pp. 115-128, 2017",https://www.sciencedirect.com/science/article/pii/S0017931016326138
2016,"Seunghyeon Lee, Gwang Hyeok Seo, Sanghyeok Lee, Uiju Jeong, Sang Jun Lee, Sung Joong Kim, Wonjoon Choi, “Layer-by-Layer carbon nanotube coatings for enhanced pool boiling heat transfer on metal surfaces”, Carbon, Vol.107, pp. 607-618, 2016",https://www.sciencedirect.com/science/article/pii/S0008622316304900
2016,"Gwang Hyeok Seo, Gyoodong Jeun, Sung Joong Kim, “Enhanced pool boiling critical heat flux with a FeCrAl layer fabricated by DC sputtering”, International Journal of Heat and Mass Transfer, Vol. 102, pp. 1293-1307, 2016",https://www.sciencedirect.com/science/article/pii/S0017931016303994
